u,v,d
298938962,6397707430,9959.385307781056
65325778,65328470,12397.79883241492
9691602663,2638978411,7110.724938894368
258911655,65355417,4381.938480568177
1815483625,65325404,9125.406730504776
311436362,65295289,7977.124150341672
65357343,65313437,9756.285115915427
65293210,65302960,4571.646238575313
65347670,764893122,6110.167856387324
65326015,65314788,2256.417857527086
65311051,302034219,8155.651887968323
65304099,65305298,5504.016876880546
65348153,65325436,5428.990464720078
420519029,65301602,3396.151070049181
298938962,65368298,3367.7666491524233
764842850,65357946,2343.7029028554525
65358331,8274993659,6442.830068582661
65327547,65328478,6978.68175882674
65335530,65323719,7497.214589721275
65307093,65319987,3483.405031652684
259084308,65310894,9291.017656043463
65344112,65287674,6809.937264203572
3717633680,6318851266,9559.971427678702
65346810,65309200,7947.746654562058
4008988541,65298992,12604.19556477022
3386704350,258972886,7762.991170209795
65299313,65296331,6387.387791142019
65299156,65290299,5462.971201988758
65344009,2480394584,11117.035495330938
65298409,65351000,11563.676935545916
65304073,6325971639,6247.104352368736
1723739176,65352367,5177.511304878666
615405952,65322239,5293.567370784261
65346916,65318440,3132.025190995104
65328971,65317971,4527.680239630271
65321692,6358782675,1051.1996405999282
65293642,12195577870,5192.699549797866
65306124,65308511,8925.840712919871
258916755,11037467463,12752.165877322359
783660990,275511769,2627.908331251503
65290105,65336858,8470.974571857952
65330538,7231544188,10870.797153326612
5020557563,5102833143,11451.08449420867
65301629,832777303,7188.6778406348585
65323679,9094199672,5663.953980358693
65358701,258972776,1755.4769571708866
65305786,65371530,9514.555595083972
4034372261,65307035,6627.814874370356
65325502,65311179,4805.7605281417655
65280502,65312216,4336.816888840228
258755557,65288869,4067.377466053316
65360676,65317117,10293.701139005017
6353362234,1510908509,8974.748989514856
65350687,1723564001,7851.36011421374
6923676856,65322299,5433.8051429537545
65288597,65361430,3145.8015157664945
65306711,65298518,8502.11674002904
830820885,6331838265,9791.507943326598
65299305,65357948,10154.372859852896
65303700,65336103,3269.9138069597084
298938896,65310195,3727.7039751527
258910945,4035862307,4096.643966186637
65319620,258886225,6678.503520436944
65371963,65286791,17347.912480640538
65318440,5863003871,5645.959568629064
65305032,12195577839,3912.154125530076
2434149928,302912544,11019.540669582515
65312369,65332321,4209.522592664343
3722628277,65318999,7065.896347721026
317126816,65351737,9042.819005186935
65325303,300752772,5337.693961575422
